name,address,lat,lng,matched_keyword
KCN Bắc Đồng Hới,"FHV5+93G, Unnamed Road, Thuận Đức",17.4934446,106.5577054,Khu chế xuất
Khu Công Nghiệp Vật Liệu Xây dựng Trường Phiêm,Hoà Trạch,17.5484165,106.5042163,Khu chế xuất
Khu Công Nghiệp Tây Bắc Đồng Hới,"FHPG+4VF, Đồng Phú",17.4853125,106.5771719,Khu chế xuất
KCN Cam Liên,"7R95+236, Thanh Thuỷ",17.267525,106.8076452,Khu công nghiệp
Khu công nghiệp Bang,"5QH4+F4F, Phú Thuỷ",17.178685,106.7552858,Khu công nghiệp
Khu Du Lịch Sinh Thái Sơn Kiều,Trường Xuân,17.1892523,106.5844677,Khu du lịch
Khu Vui Chơi giải trí Suối Đá,thôn 3,17.6419813,106.2695947,Khu du lịch
Đồi Mây Đắng - Gà Nướng,"Đồi Mây Đắng, Cự Nẫm",17.6107419,106.4087839,Khu du lịch
Vườn quốc gia Phong Nha – Kẻ Bàng,"Quảng Bình, Việt Nam",17.477679,106.1340395,Khu du lịch
HaVa Valley - Thung Lũng Ngọc Bich,"Đường Hồ Chí Minh Đông, nhánh Tây",17.5755034,106.2535282,Khu du lịch
Khu Sinh Thái Thủy Mộc,"Hưng trạch, Đông giang",17.6248464,106.353876,Khu du lịch
Khu du lịch sinh thái Phá Hạc Hải Xuân Hoà,Hoa Thuỷ,17.2869074,106.7271935,Khu du lịch
Khu dự trữ thiên nhiên Động Châu - Khe Nước Trong,Kim Thuỷ,17.1513785,106.7503571,Khu du lịch
Hang Tối,"Hồ Chí Minh Tây, Sơn Trạch",17.5741716,106.2542393,Khu du lịch
Suối Chà Cùng,"696M+4Q5, Trường Sơn",17.2103735,106.3839807,Khu du lịch
Khu sinh thái Hoàng Nghi Chính,"J8GG+F7, Sơn Trạch",17.6262363,106.3256558,Khu du lịch
Phong Nha Bamboo Park (khu sinh thái Tre Việt),"J9G4+76, Hưng Trạch",17.6257074,106.3555285,Khu du lịch
Khe Nước Lạnh,"6HJW+FRW, Rào Đá",17.2312375,106.5970892,Khu du lịch
Hang Chà Lòi,Ngân Thuỷ,17.1969393,106.5998512,Khu du lịch
The Duck Stop,"Thôn Khương Hà 3, Hưng Trạch",17.6044369,106.3656824,Khu du lịch
Tien Son Cave,"H7HH+V9, Phong Nha",17.5796353,106.2784573,Khu du lịch
Khu du lịch sinh thái Ozo Park,"H9J5+27C, Thôn đông giang",17.52654,106.2770613,Khu du lịch
Đồi Dẻ Eco,"JC73+942, Cự Nẫm",17.6107606,106.4052448,Khu du lịch
Tour du lịch Quảng Bình - HaiDang Resoft,"FJ8Q+XW6, Bảo Ninh",17.4672118,106.6398964,Khu du lịch
Động Thiên Đường Paradise Cave,"Km 16 Đường Hồ Chí Minh, Nhánh Tây",17.5194514,106.2232849,Khu du lịch
Đồi Cát Nhân Trạch,Nhân Trạch,17.5316495,106.5944609,Khu du lịch
Khu du lịch làng cát,Thôn nhân quang,17.5313261,106.5931672,Khu du lịch
Khu du lịch tổng hợp Trần Diệp,"TDB1 Đường tránh, Đồng Phú",17.4682732,106.5853373,Khu du lịch
DỊCH VỤ DU LỊCH VUI CHƠI SUỐI ĐÁ HẢI SƠN,thôn 3,17.6420549,106.269113,Khu du lịch
Hang Thuỷ Cung,Sơn Trạch,17.5454569,106.2692329,Khu du lịch
Bãi biển Đá Nhảy Thanh Trạch,"MG67+8WP, Thanh Trạch",17.6608422,106.5148303,Khu du lịch
Suối Nước Mooc,Phúc Trạch,17.5566597,106.2381149,Khu du lịch
Hang Sơn Đoòng,Tân Trạch,17.4647924,106.2873939,Khu du lịch
Phong Nha Valley,Thôn Chày,17.58116,106.2550744,Khu du lịch
Bãi Tắm Trung Tâm Nhật Lệ,"FJVG+3W6 Biển Nhật Lệ, Trương Pháp, Bắc Lý",17.4926639,106.6272655,Khu du lịch
Trung Tâm Thông Tin Xúc Tiến Du Lịch Quảng Bình,"19 Quang Trung, Hải Đình",17.4648933,106.6240602,Khu du lịch
Star Lake Hill,"QL16, Hưng Trạch",17.613992,106.356767,Khu du lịch
The Duck Tang Farm Quang Binh,"J98C+F29, Hưng Trạch",17.6071887,106.3741395,Khu du lịch
Bãi biển Trung Trạch,"HHP7+Q98, Unnamed, Road",17.586923,106.563453,Khu du lịch
Hố sụt Kong,"C5WJ+5M3, Tân Trạch",17.4453856,106.1816595,Khu du lịch
Lèn Chùa Ecostay,Xuân Trạch,17.6539053,106.2597253,Khu du lịch
Động Phong Nha,"Vườn quốc gia, Phong Nha",17.5816795,106.283462,Khu du lịch
Mộc Nhiên Experience Park & Garden Glamping,"FGX5+QXH, TT. NT Việt Trung",17.4994442,106.5099996,Khu du lịch
Hồ Mắt Mèo,"J6Q3+MM, Xuân Trạch",17.6391875,106.2041875,Khu du lịch
Đồi Cát Nhân Đức,"HH7C+36R, Đại Trạch",17.5627478,106.570515,Khu du lịch
Phong Nha green riverside city,"J89M+MM, Sơn Trạch",17.6192425,106.3342258,Khu du lịch
Thành Đồng Hới di tích lịch sử - kiến trúc nghệ thuật,"FJ8F+H8G, Quang Trung, Đồng Hải",17.4664449,106.6233126,Khu du lịch
Tú Làn Cave,"Q3CP+HM9, Minh Hoá",17.7714072,106.086739,Khu du lịch
Quảng trường nhạc nước Son Doong Mystery Light & Water Show,"FJ5V+8W8, Võ Nguyên Giáp, Bảo Ninh",17.4582965,106.6448315,Khu du lịch
Dark Cave,Sơn Trạch,17.5741854,106.251424,Khu du lịch
Phong Nha Ồ Ồ Lake,Khương Hà,17.6129215,106.3619702,Khu du lịch
Khu trại hang Tú Làn,"Q3CH+FQV, Minh Hoá",17.7712422,106.0794136,Khu du lịch
